id,x_coord,y_coord,Elevation1
57925,-42174.815,-143871.228,1.10000002384186
57926,-42174.815,-144121.228,1.20000004768372
57927,-42174.815,-144371.228,1.24676156044006
57928,-42174.815,-144621.228,1.29999995231628
57929,-42174.815,-144871.228,2.24009490013123
48179,-49174.815,-143371.228,-0.315021395683289
48180,-49174.815,-143621.228,0
48181,-49174.815,-143871.228,0.700391113758087
48182,-49174.815,-144121.228,1.30709505081177
48183,-49174.815,-144371.228,0.67879843711853
48184,-49174.815,-144621.228,-0.100000001490116
48185,-49174.815,-144871.228,0.788188695907593
48186,-49174.815,-145121.228,0.466118365526199
48187,-49174.815,-145371.228,0.583780169487
48188,-49174.815,-145621.228,0.800000011920929
48189,-49174.815,-145871.228,0.703151822090149
48190,-49174.815,-146121.228,0.0350209809839725
48527,-48924.815,-143371.228,0
48528,-48924.815,-143621.228,0.183785915374756
48529,-48924.815,-143871.228,0.400000005960464
48530,-48924.815,-144121.228,0.500342309474945
48531,-48924.815,-144371.228,-0.100000001490116
48532,-48924.815,-144621.228,-0.590999245643616
48533,-48924.815,-144871.228,-0.300000011920929
48534,-48924.815,-145121.228,0
48535,-48924.815,-145371.228,0.238343343138695
48536,-48924.815,-145621.228,0.687733829021454
48537,-48924.815,-145871.228,-0.212699085474014
48538,-48924.815,-146121.228,-0.728917181491852
48875,-48674.815,-143371.228,0.100000001490116
48876,-48674.815,-143621.228,0.300000011920929
48877,-48674.815,-143871.228,0.200000002980232
48878,-48674.815,-144121.228,0
48879,-48674.815,-144371.228,-0.400000005960464
48880,-48674.815,-144621.228,-0.600000023841858
48881,-48674.815,-144871.228,-0.699999988079071
48882,-48674.815,-145121.228,-0.699999988079071
48883,-48674.815,-145371.228,-0.600000023841858
48884,-48674.815,-145621.228,0.0244637262076139
48885,-48674.815,-145871.228,0.137067377567291
48886,-48674.815,-146121.228,-0.300000011920929
49223,-48424.815,-143371.228,0.300000011920929
49224,-48424.815,-143621.228,0.300000011920929
49225,-48424.815,-143871.228,0.100000001490116
49226,-48424.815,-144121.228,-0.473293244838715
49227,-48424.815,-144371.228,-0.600000023841858
49228,-48424.815,-144621.228,-0.791864395141602
49229,-48424.815,-144871.228,-0.899999976158142
49230,-48424.815,-145121.228,-0.699999988079071
49231,-48424.815,-145371.228,-0.634361326694489
49232,-48424.815,-145621.228,-0.100000001490116
49233,-48424.815,-145871.228,0.504266798496246
49234,-48424.815,-146121.228,0.492470771074295
49571,-48174.815,-143371.228,0.400000005960464
49572,-48174.815,-143621.228,0.100000001490116
49573,-48174.815,-143871.228,-0.200000002980232
49574,-48174.815,-144121.228,-1
49575,-48174.815,-144371.228,-0.800000011920929
49576,-48174.815,-144621.228,-0.899999976158142
49577,-48174.815,-144871.228,-0.699999988079071
49578,-48174.815,-145121.228,-0.600000023841858
49579,-48174.815,-145371.228,-0.400000005960464
49580,-48174.815,-145621.228,-0.200000002980232
49581,-48174.815,-145871.228,0.100000001490116
49582,-48174.815,-146121.228,0.586256086826324
49919,-47924.815,-143371.228,0.200000002980232
49920,-47924.815,-143621.228,0
49921,-47924.815,-143871.228,-0.771542310714722
49922,-47924.815,-144121.228,-1
49923,-47924.815,-144371.228,-1
49924,-47924.815,-144621.228,-0.800000011920929
49925,-47924.815,-144871.228,-0.600000023841858
49926,-47924.815,-145121.228,-0.523795068264008
49927,-47924.815,-145371.228,-0.400000005960464
49928,-47924.815,-145621.228,0
49929,-47924.815,-145871.228,0.300000011920929
49930,-47924.815,-146121.228,0.400000005960464
50267,-47674.815,-143371.228,0.163531824946404
50268,-47674.815,-143621.228,0
50269,-47674.815,-143871.228,-0.300000011920929
50270,-47674.815,-144121.228,-0.800000011920929
50271,-47674.815,-144371.228,-0.739165604114532
50272,-47674.815,-144621.228,-0.600000023841858
50273,-47674.815,-144871.228,-0.370989114046097
50274,-47674.815,-145121.228,-0.600000023841858
50275,-47674.815,-145371.228,-0.716575503349304
50276,-47674.815,-145621.228,0.441928654909134
50277,-47674.815,-145871.228,0.891903281211853
50278,-47674.815,-146121.228,0.513055920600891
50615,-47424.815,-143371.228,0.30922743678093
50616,-47424.815,-143621.228,0.364060640335083
50617,-47424.815,-143871.228,-0.200000002980232
50618,-47424.815,-144121.228,-0.5
50619,-47424.815,-144371.228,-0.400000005960464
50620,-47424.815,-144621.228,-0.321164399385452
50621,-47424.815,-144871.228,-0.200000002980232
50622,-47424.815,-145121.228,-0.300000011920929
50623,-47424.815,-145371.228,-0.0944126695394516
50624,-47424.815,-145621.228,1.86529970169067
50625,-47424.815,-145871.228,2.72930812835693
50626,-47424.815,-146121.228,2.93959784507751
50963,-47174.815,-143371.228,0.100000001490116
50964,-47174.815,-143621.228,0
